"max(X)","min(X)"
0.60763,0.38059
0.60688,0.38186
0.60699,0.3825
0.60684,0.38233
0.60677,0.38209
0.60677,0.38126
0.60669,0.38201
0.60683,0.38149
0.60661,0.38229
0.60658,0.38259
0.60653,0.38262
0.60645,0.38295
0.60646,0.38307
0.60638,0.38313
0.60655,0.38287
0.60628,0.38302
0.60611,0.38348
0.60612,0.38322
0.60647,0.38232
0.60624,0.38307
0.60584,0.38426
0.60614,0.38348
0.60587,0.38444
0.60574,0.38486
0.60562,0.38504
0.60556,0.38515
0.60547,0.38537
0.60538,0.38558
0.60581,0.38455
0.60524,0.3861
0.60535,0.3855
0.6051,0.3864
0.60474,0.38682
0.60537,0.38555
0.60456,0.38688
0.60454,0.38757
0.60447,0.38752
0.60444,0.3876
0.60419,0.38782
0.60405,0.38799
0.60397,0.38816
0.60384,0.38833
0.60384,0.38823
0.60366,0.38874
0.60369,0.38892
0.60353,0.38851
0.60342,0.38948
0.60311,0.38932
0.60317,0.3895
0.60288,0.39005
0.60269,0.39037
0.60305,0.38941
0.60255,0.39081
0.60236,0.39114
0.60237,0.3911
0.60204,0.39151
0.60212,0.39196
0.60173,0.39202
0.60166,0.39224
0.60138,0.3926
0.6011,0.39308
