index,eigenvalue,residual
405,2.301432367671e+07,8.073921176117e-06
406,2.304857776772e+07,1.249501728384e-05
407,2.313207564985e+07,5.430181130928e-06
408,2.319609358113e+07,7.180017407155e-06
409,2.331460208945e+07,1.105847748146e-05
410,2.340873015108e+07,1.007429628428e-05
411,2.343043627484e+07,1.226299817257e-05
412,2.346969959812e+07,6.935065597496e-06
413,2.356069742779e+07,6.243730989241e-06
414,2.362030800263e+07,6.623501400030e-06
415,2.365566299526e+07,5.349149226630e-06
416,2.376269419457e+07,8.584699139790e-06
417,2.379603911377e+07,7.261902943810e-06
418,2.383008182776e+07,1.556268647580e-05
419,2.392163378945e+07,1.014826546951e-05
420,2.407245367086e+07,8.918990975693e-06
421,2.413909063683e+07,7.903706430074e-06
422,2.418697690583e+07,1.092947481360e-05
423,2.439381181864e+07,7.561452723542e-06
424,2.443208822945e+07,1.027535183110e-05
425,2.451620333780e+07,8.335440411174e-06
426,2.461269907802e+07,1.241760760630e-05
427,2.464070827658e+07,7.663630814160e-06
428,2.472071320456e+07,6.343439050960e-06
429,2.475216105109e+07,7.094315294563e-06
430,2.476883760298e+07,5.819507569407e-06
431,2.483655110341e+07,8.957752233831e-06
432,2.498830391217e+07,7.941024750016e-06
433,2.505963348787e+07,1.789763531158e-06
434,2.508509912204e+07,9.585220874230e-06
435,2.512910840760e+07,6.565761852621e-06
436,2.513668933401e+07,6.121916532757e-06
437,2.519484571563e+07,9.349258516305e-06
438,2.528419644668e+07,8.004131438132e-06
439,2.533091467035e+07,7.539694794863e-06
440,2.537766197170e+07,4.201976966447e-06
441,2.548614315880e+07,7.218254768277e-06
442,2.552975619198e+07,6.422513964553e-06
443,2.557145164848e+07,1.231985614626e-05
444,2.563941580473e+07,1.082077602646e-05
445,2.581081687205e+07,4.683247867034e-06
446,2.591749653395e+07,2.387512582676e-06
447,2.596193357378e+07,1.541960965526e-05
448,2.599363173714e+07,1.500044602029e-05
449,2.608638948562e+07,1.062756052420e-05
450,2.614906879227e+07,6.872126780382e-06
451,2.620554966563e+07,8.719222750005e-06
452,2.627048637935e+07,1.134259873857e-05
453,2.632535466459e+07,8.818999620840e-06
454,2.636950238609e+07,8.773639412701e-06
455,2.638733281187e+07,9.176796587849e-06
456,2.646135776010e+07,7.858864681711e-06
457,2.652755891073e+07,3.447561141803e-06
458,2.661546273868e+07,1.086783248322e-05
459,2.674420616188e+07,7.222512786885e-06
460,2.686522164126e+07,4.891753126867e-06
461,2.694124487263e+07,5.312515144152e-06
462,2.706354981047e+07,7.847024203771e-06
463,2.709967016471e+07,4.906846501968e-06
464,2.711027727667e+07,4.526388563623e-06
465,2.724718849179e+07,8.606382805849e-06
466,2.727090720104e+07,5.315784648089e-06
467,2.735337420374e+07,6.969022777997e-06
468,2.736315332266e+07,7.032547978214e-06
469,2.741097362740e+07,4.710482760949e-06
470,2.749221278177e+07,6.692161075970e-06
471,2.774941945542e+07,9.437445629979e-06
472,2.785654148672e+07,5.443985396177e-06
473,2.791443212563e+07,3.789235847030e-06
474,2.795640840480e+07,4.831289937985e-06
475,2.800538227321e+07,6.189348036668e-06
476,2.813062067037e+07,6.166744896729e-06
477,2.832691596911e+07,1.467425387299e-05
478,2.834950018569e+07,6.282754841237e-06
479,2.840422815432e+07,1.134581305816e-05
480,2.857644605264e+07,5.856047579636e-06
481,2.860001712156e+07,7.139137653919e-06
482,2.862784989742e+07,5.460661172763e-06
483,2.874152730568e+07,7.871307207634e-06
484,2.876109262077e+07,1.093897874540e-05
485,2.883481662009e+07,6.421794535811e-06
486,2.884723119498e+07,9.487038798260e-06
487,2.889194063531e+07,8.031901618407e-06
488,2.893443758695e+07,7.407992514660e-06
489,2.904428758507e+07,7.699849758436e-06
490,2.907136040957e+07,1.121351379793e-05
491,2.913472026297e+07,8.696446938573e-06
492,2.917340307247e+07,8.489791073805e-06
493,2.926663851305e+07,9.579418386130e-06
494,2.932780560019e+07,1.089846991044e-05
495,2.938538501676e+07,1.008909189888e-05
496,2.943077198193e+07,9.048143295192e-06
497,2.950633147974e+07,7.548805249453e-06
498,2.954461002564e+07,8.658787095015e-06
499,2.956347967426e+07,7.068710124933e-06
500,2.958857123847e+07,7.084129740805e-06
501,2.968396404014e+07,9.992584366689e-06
502,2.973985035249e+07,5.096588667789e-06
503,2.979929053210e+07,6.149451187855e-06
504,3.002405345775e+07,7.584905661913e-06
505,3.012528281599e+07,3.780263870859e-06
506,3.021913107203e+07,9.798697527502e-06
507,3.024957257856e+07,6.759126360013e-06
508,3.029594699062e+07,6.736663522930e-06
509,3.049326686104e+07,7.949925428595e-06
510,3.051119628724e+07,5.158059983100e-06
511,3.054509808421e+07,5.645040135316e-06
512,3.065247143986e+07,1.246249620201e-05
513,3.070270614369e+07,9.206289391556e-06
514,3.072715344432e+07,1.138588450377e-05
515,3.089563241154e+07,1.318567605152e-05
516,3.091049765292e+07,1.511820857064e-05
517,3.096036912354e+07,8.757148328659e-06
518,3.103240883509e+07,5.690588875300e-06
519,3.106773664107e+07,1.155533232107e-05
